repository,status_note
Antonoof/ROGII---Wellbore-Geology-Prediction,Alternative / duplicate implementation retained for reference.
Atashnezhad/Petroleum_Engineering,General petroleum-engineering resource retained for reference.
FoamScience/OpenRSR,Legacy / reference reservoir-simulation project.
Onyix01/spews-drilling-dashboard,Early-stage drilling dashboard retained for future review.
PetroMLAI/PetroMLAI,Early-stage petroleum ML project retained for future review.
RamySaleem/Exploratory-Data-Analysis-of-Wireline-Well-Log-Data,Educational well-log EDA project retained for reference.
UsmanHWU/RE_Claws,Early-stage reservoir AI project retained for future review.
VaibhavJ97/geochat,General geoscience assistant retained for future review.
alifahin0-svg/geothermal-h2s-dashboard,Early-stage geothermal dashboard retained for future review.
denizd1/geoai,Broad geoscience AI project retained for future review.
develops20/NB153-ROGII-Wellbore-Geology-Prediction,Alternative competition implementation retained for reference.
donald-keighley/lasr,LAS-related utility retained for reference.
fredericomacedo/AI-Oil-Pump-Control,Oil-pump AI/control project retained for future review.
imranfadhil/logASCII_viewer,Log ASCII viewer retained as a supporting utility.
koharu123/oilgas-ai,Early-stage oil & gas AI project retained for future review.
petroGG/petrophysics,Petrophysics resource retained for reference.
reservoir-ai/reservoir-ai-showcase,Reservoir-AI showcase retained for future review.
zainab-iyiola/PetroLog,Petrophysics application retained for future review.
