repository,suggested_decision,review_reason
JintaoLee-Roger/cigsegy,approve,"Focused SEG-Y/NumPy library; MIT licensed; meaningful adoption and current enough activity. Strong fit for the seismic data-tooling catalogue."
Ashraf-ISM/100-Days-of-Python-for-Oil-Gas-Subsurface-Analytics,watch,"Highly relevant and recent, but primarily an educational/notebook collection rather than a reusable software package. Track maturity before catalogue promotion."
TGSAI/segy,approve,"Modern SEG-Y I/O library with cloud/schema support; Apache-2.0; active in September 2026. Distinctive enough to complement segyio/segysak."
Ugwuone/seismic-processing-niger-delta,watch,"Technically relevant MIT-licensed research pipeline, but zero visible adoption and limited evidence of reusable package maturity."
dbestdataguy/Well-Log-Analysis,watch,"Relevant FORCE-2020 well-log ML workflow, but currently looks like a research/notebook project with no license recorded and little adoption."
Valentine3331420/Geoscience-and-modelling-work,reject,"Broad academic project collection rather than a focused reusable geoscience software tool; low catalogue value relative to more mature alternatives."
JuliaEarth/SeisKit.jl,approve,"Focused Julia SEG-Y I/O and seismic utilities; MIT license; actively maintained. Adds useful language/ecosystem diversity."
adeanggins/oil-and-gas-portfolio-examples,watch,"Relevant oil-and-gas data-science examples, but portfolio/learning orientation makes it weaker than a reusable technical library."
zahidaramai/sdip,approve,"Clear modern use case: validated SEG-Y to MDIO/Zarr v3 conversion for AI/cloud workflows; Apache-2.0 and strong provenance/reproducibility positioning."
meaadalrehaili/KAUST-Hackathon-in-Geoscience,reject,"Interesting research/hackathon material, but old and inactive since 2022; better treated as research reference than an emerging maintained tool."
mohammedbaqir01/End_to_End_Lithology_Classification_from_Well_Logs_using_XGBoost,watch,"Useful recent petrophysics ML example with MIT license, but currently small notebook-scale project; monitor for packaging/documentation growth."
ameyxd/petromcp,approve,"Petroleum-specific MCP server for LAS/well-log access; MIT licensed and directly relevant to PetroTechRadar's emerging AI/MCP coverage despite early-stage adoption."
m0shiko8811-beep/SeisConv,watch,"Broad SEG-Y/SEG-D/SEG-2/SU desktop QC toolkit and very recent activity, but extremely new with minimal adoption; reassess after more releases/use."
owenloh/SEGYScribe,watch,"Novel LLM-assisted SEG-Y header/parser concept, but no license is recorded and adoption is still minimal. Technically interesting, not yet ready for curated promotion."
1028lyt/Yale-UNC-CH---Geophysical-Waveform-Inversion,watch,"Direct FWI relevance, but appears research/notebook oriented, inactive for about a year, with no license recorded and no visible adoption."
Wzhang3912/opendtect-mcp,approve,"Distinctive MCP integration for OpendTect covering SEG-Y import and horizon tracking; MIT licensed and strategically relevant to agentic geoscience workflows. Early-stage status should be shown clearly."
DavidLiu-code/SeisForge-Studio,watch,"Relevant native SEG-Y visualization/enhancement application with MIT license, but created only in September 2026 with very limited track record."
zzzzswh/gathervis,watch,"Useful remote seismic gather viewer with processing/QC features, but very new, minimal adoption, and no license recorded."
ewencai/ASCtoSEGY,watch,"Relevant MATLAB/Octave SEG-Y utility with LGPL license, but tiny/new project and narrower value than established SEG-Y libraries."
ewencai/segyml,watch,"Interesting PyTorch-aware SEG-Y I/O concept with GPL license, but currently very small and new; monitor for API/documentation maturity."
jairam25/Petrostream,watch,"Ambitious browser petroleum engineering suite spanning many domains, but claims are broad, adoption is minimal, and no license is recorded in discovery metadata; requires deeper validation."
rubensrudio/AI-Compress-Seismic-v1,watch,"Interesting AI-assisted seismic compression stack with Apache-2.0 and recent activity, but zero visible adoption and performance/losslessness claims need validation."
q299264-cyber/borehole-vug-detection,watch,"Highly relevant carbonate/image-log application with DLIS input, but extremely new, one-star project and no license recorded. Strong candidate if it matures."
claramtd/agora-line001-poland,watch,"Relevant reproducible 2D seismic processing/QC implementation with MIT license, but appears case-study/research specific rather than a general-purpose package."
Kiranmayb/Well-Log-Facies-Classifier-V1.3,watch,"Relevant automated lithofacies ML pipeline with GPL-3.0, but no visible adoption and limited evidence yet of reusable package maturity."
