repository,reason
Antonoof/ROGII---Wellbore-Geology-Prediction,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
Atashnezhad/Petroleum_Engineering,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
FoamScience/OpenRSR,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
Onyix01/spews-drilling-dashboard,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
PetroMLAI/PetroMLAI,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
RamySaleem/Exploratory-Data-Analysis-of-Wireline-Well-Log-Data,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
UsmanHWU/RE_Claws,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
VaibhavJ97/geochat,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
alifahin0-svg/geothermal-h2s-dashboard,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
denizd1/geoai,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
develops20/NB153-ROGII-Wellbore-Geology-Prediction,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
donald-keighley/lasr,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
fredericomacedo/AI-Oil-Pump-Control,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
imranfadhil/logASCII_viewer,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
koharu123/oilgas-ai,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
petroGG/petrophysics,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
reservoir-ai/reservoir-ai-showcase,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
zainab-iyiola/PetroLog,"Removed during V1 cleanup: weak, redundant, generic, archived, or insufficiently substantive for public launch."
