repository,url,domain,focus,suggested_tier,discovery_score,relevance_score,activity_score,stars,forks,open_issues,language,license,created_at,pushed_at,archived,topics,matched_queries,reason,decision,discovered_at
JintaoLee-Roger/cigsegy,https://github.com/JintaoLee-Roger/cigsegy,Seismic / Processing,A tool for exchanging data between SEG-Y format and NumPy array inside Python environment,Core,77.3,87,57.7,64,9,1,Python,MIT,2022-12-07T02:49:51Z,2026-06-01T11:35:20Z,False,cpp;geophysics;python;segy;seismic-data,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=57.7; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
TGSAI/segy,https://github.com/TGSAI/segy,Seismic / Processing,The Ultimate Python SEG-Y I/O with Cloud Support and Schemas,Reference,75.0,87,58.3,14,7,35,Python,Apache-2.0,2024-02-08T17:04:02Z,2026-08-21T14:15:56Z,False,data;geophysics;segy;seismic,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=58.3; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
Ashraf-ISM/100-Days-of-Python-for-Oil-Gas-Subsurface-Analytics,https://github.com/Ashraf-ISM/100-Days-of-Python-for-Oil-Gas-Subsurface-Analytics,Seismic / Processing,"Hands-on Python projects for geophysics and oil & gas, covering seismic processing, well log analysis, and machine learning.",Research,74.3,100,39.7,1,0,0,Jupyter Notebook,Apache-2.0,2025-12-16T10:35:02Z,2026-07-11T01:54:10Z,False,,"seismic processing geophysics in:name,description,topics;geophysics machine learning in:name,description,topics","relevance=100; activity=39.7; matched=geophysics, seismic, subsurface, well log",review,2026-09-04T17:04:06.421401+00:00
Ugwuone/seismic-processing-niger-delta,https://github.com/Ugwuone/seismic-processing-niger-delta,Seismic / Processing,"Python pipeline for SEG-Y seismic data loading, bandpass filtering, and subsurface visualization. Built for PhD research in Niger Delta geophysics.",Reference,71.8,100,35.0,0,0,0,,MIT,2026-06-04T17:00:42Z,2026-06-04T18:31:07Z,False,,"seismic processing geophysics in:name,description,topics","relevance=100; activity=35.0; matched=geophysics, seg-y, seismic, subsurface",review,2026-09-04T17:04:06.421401+00:00
dbestdataguy/Well-Log-Analysis,https://github.com/dbestdataguy/Well-Log-Analysis,Petrophysics / Data,"Supervised machine learning pipeline for subsurface reservoir characterisation using wireline well logs from the FORCE 2020 benchmark dataset. Two tasks are solved from the same data: classifying rock type (lithology) across 11 classes, and",Research,71.4,100,33.4,0,0,0,Jupyter Notebook,,2026-05-06T09:16:52Z,2026-05-06T09:17:32Z,False,data;datascience;geophysics;machinelearning;machinelearning-python,"geophysics machine learning in:name,description,topics","relevance=100; activity=33.4; matched=geophysics, reservoir, subsurface, well log, well logs",review,2026-09-04T17:04:06.421401+00:00
Valentine3331420/Geoscience-and-modelling-work,https://github.com/Valentine3331420/Geoscience-and-modelling-work,Reservoir / Modeling,"Collection of academic projects covering key petroleum engineering disciplines including, Geoscience, reservoir modelling, drilling, petroleum economics, maintenance and inspection, production technology, and process engineering.",Reference,71.1,100,32.4,0,0,0,,,2026-04-17T14:40:03Z,2026-04-18T09:08:14Z,False,,"reservoir modeling geoscience in:name,description,topics;drilling petroleum engineering in:name,description,topics","relevance=100; activity=32.4; matched=drilling, geoscience, petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
JuliaEarth/SeisKit.jl,https://github.com/JuliaEarth/SeisKit.jl,Seismic / Processing,Fast IO operations with SEG-Y files and other basic utilities for working with seismic data,Emerging,70.1,87,47.7,4,1,0,Julia,MIT,2025-11-14T23:01:16Z,2026-08-27T13:42:39Z,False,data;geophysics;io;segy;seismic;seismology,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=47.7; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
adeanggins/oil-and-gas-portfolio-examples,https://github.com/adeanggins/oil-and-gas-portfolio-examples,Geoscience / Other,"Leveraging Data Science for the Energy Sector: A comprehensive portfolio of Python and SQL solutions driving efficiency in exploration, production, and asset optimization.",Emerging,69.2,84,49.9,5,5,0,Jupyter Notebook,MIT,2025-12-21T04:59:56Z,2026-08-02T14:40:14Z,False,data-science;geoscience;machine-learning;oil-and-gas;petroleum-engineering;predictive-modeling;python;regression-analysis;reservoir-engineering,"production optimization oil gas in:name,description,topics","relevance=84; activity=49.9; matched=geoscience, petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
zahidaramai/sdip,https://github.com/zahidaramai/sdip,Seismic / Processing,Convert SEG-Y seismic data to AI-ready MDIO/Zarr v3 — with a machine-checkable proof the conversion changed nothing.,Emerging,68.9,87,45.0,3,0,0,Python,Apache-2.0,2026-08-26T10:28:42Z,2026-08-27T05:54:01Z,False,cloud-native;data-validation;geophysics;lossless;mdio;provenance;python;reproducibility;seg-y;segy;seismic;zarr,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=45.0; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
mohammedbaqir01/End_to_End_Lithology_Classification_from_Well_Logs_using_XGBoost,https://github.com/mohammedbaqir01/End_to_End_Lithology_Classification_from_Well_Logs_using_XGBoost,Petrophysics / Data,"Machine learning project for lithology classification from well log data using XGBoost. Predicts Sandstone, Shale, and Limestone from petrophysical logs.",Emerging,68.9,87,44.7,3,0,0,Jupyter Notebook,MIT,2026-07-31T08:12:15Z,2026-08-22T10:21:59Z,False,data-science;drilling;drilling-engineering;geology;lithology;machine-learning;petroleum-engineering;petroleum-industry;petrophysics;petrophysics-upstream-midstream-downstream;python;scikit-learn;well-log;well-logging;xgboost,"petrophysics well logs in:name,description,topics","relevance=87; activity=44.7; matched=drilling, petroleum, petrophysics, well log",review,2026-09-04T17:04:06.421401+00:00
